0	19.2033
0.0001	18.9954
0.0002	18.8962
0.0003	18.8448
0.0004	18.8099
0.0005	18.7856
0.0006	18.7677
0.0007	18.754
0.0008	18.7428
0.0009	18.7334
0.001	18.7251
0.0011	18.7176
0.0012	18.7107
0.0013	18.7042
0.0014	18.6982
0.0015	18.6924
0.0016	18.687
0.0017	18.6818
0.0018	18.6769
0.0019	18.6722
0.002	18.6678
0.0021	18.6636
0.0022	18.6596
0.0023	18.6558
0.0024	18.6523
0.0025	18.649
0.0026	18.6459
0.0027	18.643
0.0028	18.6403
0.0029	18.6379
0.003	18.6356
0.0031	18.6335
0.0032	18.6316
0.0033	18.6299
0.0034	18.6284
0.0035	18.6271
0.0036	18.626
0.0037	18.625
0.0038	18.6242
0.0039	18.6236
0.00401	18.6232
0.00412	18.6231
0.00423	18.623
0.00434	18.6231
0.00445	18.6234
0.00456	18.6238
0.00467	18.6244
0.00478	18.6252
0.00489	18.6261
0.005	18.6272
0.00511	18.6285
0.00522	18.6299
0.00533	18.6314
0.00544	18.6331
0.00555	18.635
0.00566	18.6369
0.00577	18.6391
0.00588	18.6413
0.00599	18.6437
0.0061	18.6462
0.00621	18.6488
0.00632	18.6515
0.00643	18.6544
0.00654	18.6573
0.00665	18.6605
0.00676	18.6641
0.00687	18.6681
0.00698	18.673
0.00709	18.6791
0.0072	18.6869
0.00731	18.6967
0.00742	18.7094
0.00753	18.7261
0.00764	18.7474
0.00775	18.7739
0.00786	18.8063
0.00797	18.8458
0.00808	18.8933
0.00819	18.9496
0.0083	19.0151
0.00841	19.0899
0.00852	19.174
0.00863	19.2672
0.00874	19.3695
0.00885	19.4805
0.00896	19.5998
0.00907	19.7271
0.00918	19.8617
0.00929	20.0032
0.0094	20.1509
0.00951	20.304
0.00962	20.4619
0.00973	20.6236
0.00984	20.7884
0.00995	20.9553
0.01006	21.1232
0.01017	21.2913
0.01028	21.4585
0.01039	21.6169
0.0105	21.7686
0.01061	21.9148
0.01072	22.0558
0.01083	22.1913
0.01094	22.3207
0.01105	22.4436
0.01116	22.5594
0.01127	22.6675
0.01138	22.7676
0.01149	22.8528
0.0116	22.9378
0.01171	23.0153
0.01182	23.0836
0.01193	23.142
0.01204	23.1902
0.01215	23.2278
0.01226	23.2566
0.01237	23.2709
0.01248	23.2762
0.01259	23.2713
0.0127	23.256
0.01281	23.2306
0.01292	23.1952
0.01303	23.1471
0.01314	23.0846
0.01325	23.0104
0.01336	22.9259
0.01347	22.8319
0.01358	22.7292
0.01369	22.6188
0.0138	22.5053
0.01391	22.3887
0.01402	22.2691
0.01413	22.1471
0.01424	22.0229
0.01435	21.897
0.01446	21.7702
0.01457	21.6431
0.01468	21.5163
0.01479	21.3902
0.0149	21.2655
0.01501	21.1423
0.01512	21.021
0.01523	20.9017
0.01534	20.7846
0.01545	20.6701
0.01556	20.5581
0.01567	20.4486
0.01578	20.3413
0.01589	20.2362
0.016	20.1335
0.01611	20.0409
0.01622	19.9572
0.01633	19.8805
0.01644	19.8096
0.01655	19.7437
0.01666	19.6821
0.01677	19.625
0.01688	19.5723
0.01699	19.5238
0.0171	19.4795
0.01721	19.439
0.01732	19.4022
0.01743	19.3688
0.01754	19.3383
0.01765	19.3102
0.01776	19.2843
0.01787	19.2604
0.01798	19.2382
0.01809	19.2175
0.0182	19.1983
0.01831	19.1803
0.01842	19.1634
0.01853	19.1476
0.01864	19.1401
0.01875	19.1379
0.01886	19.1386
0.01897	19.1409
0.01908	19.1441
0.01919	19.1477
0.0193	19.1516
0.01941	19.1556
0.01952	19.1596
0.01963	19.1637
0.01974	19.1677
0.01985	19.1718
0.01996	19.1758
0.02007	19.1798
0.02018	19.1838
0.02029	19.1877
0.0204	19.1916
0.02051	19.1955
0.02062	19.1994
0.02073	19.2032
0.02084	19.2071
0.02095	19.2108
0.02106	19.2146
0.02117	19.2183
0.02128	19.222
0.02139	19.2257
0.0215	19.2293
0.02161	19.233
0.02172	19.2366
0.02183	19.2401
0.02194	19.2437
0.02205	19.2472
0.02216	19.2507
0.02227	19.2541
0.02238	19.2575
0.02249	19.2609
0.0226	19.2643
0.02271	19.2677
0.02282	19.271
0.02293	19.2743
0.02304	19.2774
0.02315	19.2807
0.02326	19.2838
0.02337	19.2871
0.02348	19.2902
0.02359	19.2934
0.0237	19.2964
0.02381	19.2996
0.02392	19.3026
0.02403	19.3057
0.02414	19.3086
0.02425	19.3117
0.02436	19.3146
0.02447	19.3176
0.02458	19.3204
0.02469	19.3232
0.0248	19.3261
0.02491	19.3289
0.02502	19.3317
0.02513	19.3345
0.02524	19.3372
0.02535	19.34
0.02546	19.3427
0.02557	19.3454
0.02568	19.348
0.02579	19.3507
0.0259	19.3533
0.02601	19.3559
0.02612	19.3584
0.02623	19.361
0.02634	19.3635
0.02645	19.366
0.02656	19.3685
0.02667	19.3709
0.02678	19.3734
0.02689	19.3758
0.027	19.3782
0.02711	19.3805
0.02722	19.3829
0.02733	19.3852
0.02744	19.3875
0.02755	19.3898
0.02766	19.392
0.02777	19.3942
0.02788	19.3965
0.02799	19.3986
0.0281	19.4008
0.02821	19.403
0.02832	19.4051
0.02843	19.4072
0.02854	19.4093
0.02865	19.4114
0.02876	19.4134
0.02887	19.4154
0.02898	19.4174
0.02909	19.4194
0.0292	19.4214
0.02931	19.4234
0.02942	19.4253
0.02953	19.4272
0.02964	19.4291
0.02975	19.431
0.02986	19.4328
0.02997	19.4347
0.03008	19.4365
0.03019	19.4383
0.0303	19.4401
0.03041	19.4418
0.03052	19.4436
0.03063	19.4453
